# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-1.459021  0.971714  0.847207  -0.000620  -0.001563  -0.002227
-1.459835  0.970107  0.844207  -0.000929  -0.001220  -0.002002
-1.460719  0.969030  0.841492  -0.000776  -0.000657  -0.001810
-1.461230  0.968560  0.839031  -0.000281  -0.000205  -0.001740
-1.461189  0.968416  0.836785  0.000100  -0.000112  -0.001776
-1.460992  0.968151  0.834650  0.000049  -0.000429  -0.001863
-1.461070  0.967416  0.832537  -0.000309  -0.000929  -0.001971
-1.461535  0.966045  0.830209  -0.000694  -0.001368  -0.001983
-1.462274  0.964145  0.827887  -0.000961  -0.001530  -0.001790
-1.463120  0.962141  0.825744  -0.001104  -0.001382  -0.001520
-1.463980  0.960466  0.823919  -0.001196  -0.001009  -0.001221
-1.464809  0.959383  0.822490  -0.001264  -0.000615  -0.000878
-1.465639  0.958695  0.821503  -0.001292  -0.000457  -0.000444
-1.466540  0.958037  0.821043  -0.001361  -0.000537  0.000028
-1.467824  0.957242  0.821108  -0.001546  -0.000725  0.000348
-1.469628  0.956284  0.821455  -0.001772  -0.000876  0.000286
-1.471806  0.955258  0.821569  -0.001913  -0.000891  -0.000114
-1.474078  0.954277  0.821212  -0.001928  -0.000810  -0.000510
-1.476235  0.953345  0.820513  -0.001861  -0.000657  -0.000607
-1.478267  0.952527  0.819803  -0.001707  -0.000478  -0.000429
-1.480074  0.951807  0.819177  -0.001470  -0.000422  -0.000275
-1.481768  0.951091  0.818352  -0.001373  -0.000516  -0.000246
-1.483662  0.950344  0.817265  -0.001491  -0.000694  -0.000153
-1.485868  0.949544  0.816162  -0.001612  -0.000842  0.000099
-1.488062  0.948717  0.815299  -0.001426  -0.000938  0.000443
-1.489745  0.947870  0.814740  -0.000951  -0.000943  0.000742
-1.490789  0.947120  0.814351  -0.000446  -0.000819  0.000946
-1.491337  0.946559  0.814071  -0.000207  -0.000604  0.000989
-1.491867  0.946172  0.813759  -0.000415  -0.000478  0.000714
-1.492852  0.945791  0.813007  -0.001056  -0.000469  0.000142
-1.494726  0.945395  0.811560  -0.001911  -0.000495  -0.000321
-1.497324  0.944989  0.809854  -0.002579  -0.000553  -0.000376
-1.500165  0.944491  0.808393  -0.002810  -0.000607  -0.000183
-1.502766  0.943916  0.807382  -0.002544  -0.000561  -0.000077
-1.504874  0.943408  0.806563  -0.001931  -0.000344  -0.000286
-1.506358  0.943155  0.805523  -0.001252  -0.000153  -0.000712
-1.507325  0.942980  0.804083  -0.000897  -0.000222  -0.001097
-1.508142  0.942628  0.802372  -0.000972  -0.000557  -0.001240
-1.509122  0.941879  0.800652  -0.001283  -0.000914  -0.001147
-1.510248  0.940916  0.799093  -0.001523  -0.000994  -0.000961
-1.511306  0.940090  0.797647  -0.001527  -0.000729  -0.000885
-1.512172  0.939689  0.796020  -0.001249  -0.000365  -0.000969
-1.512724  0.939609  0.794107  -0.000763  -0.000258  -0.001130
-1.513048  0.939420  0.791945  -0.000334  -0.000470  -0.001272
-1.513357  0.938855  0.789797  -0.000116  -0.000730  -0.001375
-1.513798  0.938022  0.787785  -0.000048  -0.000853  -0.001480
-1.514286  0.937101  0.785886  -0.000062  -0.000933  -0.001583
-1.514806  0.936089  0.783978  -0.000182  -0.001061  -0.001689
-1.515360  0.935023  0.781904  -0.000327  -0.001082  -0.001901
-1.515933  0.934125  0.779434  -0.000295  -0.000882  -0.002289
-1.516272  0.933569  0.776491  0.000026  -0.000638  -0.002731
-1.516197  0.933188  0.773303  0.000450  -0.000607  -0.003094
-1.515701  0.932628  0.769959  0.000763  -0.000871  -0.003310
-1.514875  0.931572  0.766505  0.000816  -0.001244  -0.003388
-1.513976  0.930071  0.762910  0.000543  -0.001483  -0.003396
-1.513363  0.928373  0.759247  0.000181  -0.001485  -0.003339
-1.513023  0.926783  0.755585  0.000169  -0.001258  -0.003207
-1.512543  0.925495  0.751981  0.000743  -0.000925  -0.002888
-1.511404  0.924507  0.748739  0.001636  -0.000597  -0.002406
-1.509652  0.923749  0.746068  0.002226  -0.000439  -0.001976
-1.507859  0.922879  0.743861  0.002126  -0.000627  -0.001857
-1.506627  0.921547  0.741618  0.001464  -0.001070  -0.002095
-1.506167  0.919769  0.738916  0.000692  -0.001435  -0.002493
-1.506255  0.917988  0.735718  0.000280  -0.001524  -0.002775
-1.506342  0.916482  0.732354  0.000278  -0.001428  -0.002831
-1.506069  0.915238  0.729164  0.000280  -0.001234  -0.002780
-1.505661  0.914202  0.726183  0.000041  -0.000984  -0.002746
-1.505356  0.913322  0.723239  -0.000308  -0.000781  -0.002744
-1.505341  0.912481  0.720184  -0.000606  -0.000804  -0.002584
-1.505635  0.911353  0.717283  -0.000890  -0.001010  -0.002070
-1.506408  0.909938  0.715025  -0.001184  -0.001054  -0.001290
-1.507554  0.908518  0.713671  -0.001235  -0.000798  -0.000646
-1.508554  0.907289  0.712856  -0.000893  -0.000448  -0.000507
-1.508947  0.906226  0.711897  -0.000438  -0.000279  -0.000876
-1.508861  0.905236  0.710393  -0.000140  -0.000304  -0.001372
-1.508573  0.904373  0.708480  -0.000081  -0.000360  -0.001618
-1.508418  0.903706  0.706536  -0.000293  -0.000345  -0.001552
-1.508692  0.903246  0.704740  -0.000766  -0.000268  -0.001326
-1.509642  0.902922  0.703130  -0.001387  -0.000178  -0.001057
-1.511250  0.902701  0.701743  -0.001922  -0.000152  -0.000740
-1.513284  0.902438  0.700775  -0.002226  -0.000320  -0.000335
-1.515467  0.901910  0.700327  -0.002317  -0.000699  0.000038
-1.517657  0.901014  0.700263  -0.002273  -0.001191  0.000217
-1.519745  0.899700  0.700262  -0.002187  -0.001632  0.000225
-1.521714  0.898162  0.700207  -0.002208  -0.001874  0.000136
-1.523787  0.896528  0.699970  -0.002360  -0.001803  0.000043
-1.526094  0.895126  0.699647  -0.002537  -0.001383  -0.000028
-1.528627  0.894177  0.699248  -0.002639  -0.000886  -0.000105
-1.531183  0.893627  0.698839  -0.002595  -0.000569  -0.000058
-1.533542  0.893294  0.698700  -0.002432  -0.000465  0.000205
-1.535624  0.893024  0.699000  -0.002301  -0.000346  0.000591
-1.537616  0.892933  0.699714  -0.002341  0.000021  0.000941
-1.539771  0.893255  0.700625  -0.002552  0.000534  0.001112
-1.542236  0.894018  0.701491  -0.002842  0.000821  0.001023
-1.545118  0.894828  0.702062  -0.003060  0.000639  0.000623
-1.548267  0.895255  0.702095  -0.003057  0.000041  -0.000030
-1.551402  0.894953  0.701458  -0.002800  -0.000628  -0.000559
-1.554249  0.894083  0.700667  -0.002420  -0.000919  -0.000604
-1.556773  0.893102  0.700264  -0.002091  -0.000661  -0.000324
-1.559047  0.892461  0.700298  -0.001801  0.000030  -0.000168
-1.560989  0.892438  0.700292  -0.001515  0.000700  -0.000422
-1.562648  0.892785  0.699674  -0.001395  0.000920  -0.000928
-1.564326  0.893088  0.698282  -0.001580  0.000643  -0.001269
-1.566354  0.893036  0.696438  -0.001913  0.000196  -0.001203
-1.568611  0.892719  0.694631  -0.002103  -0.000072  -0.000837
-1.570815  0.892400  0.693088  -0.001891  -0.000068  -0.000490
-1.572605  0.892265  0.691725  -0.001332  -0.000012  -0.000326
-1.573957  0.892132  0.690436  -0.000760  -0.000162  -0.000337
-1.575023  0.891656  0.689183  -0.000441  -0.000537  -0.000521
-1.575905  0.890626  0.687783  -0.000314  -0.000951  -0.000977
-1.576460  0.889183  0.685980  -0.000167  -0.001122  -0.001674
-1.576537  0.887762  0.683726  0.000079  -0.000946  -0.002396
-1.576112  0.886722  0.681077  0.000401  -0.000590  -0.002944
-1.575216  0.886076  0.678005  0.000703  -0.000296  -0.003285
-1.574039  0.885721  0.674400  0.000851  -0.000108  -0.003450
-1.572909  0.885624  0.670479  0.000701  -0.000058  -0.003419
-1.572227  0.885613  0.666619  0.000481  -0.000236  -0.003242
-1.571877  0.885368  0.663096  0.000618  -0.000593  -0.003039
-1.571332  0.884731  0.659876  0.001182  -0.000892  -0.003031
-1.570189  0.883852  0.656466  0.001796  -0.000980  -0.003316
-1.568500  0.882887  0.652483  0.002161  -0.000955  -0.003745
-1.566478  0.881898  0.647927  0.002357  -0.000975  -0.004022
-1.564172  0.880798  0.643294  0.002573  -0.001038  -0.004019
-1.561573  0.879682  0.638907  0.002784  -0.001102  -0.003882
-1.558799  0.878489  0.634783  0.002839  -0.001172  -0.003784
-1.556127  0.877287  0.630748  0.002700  -0.001193  -0.003776
-1.553742  0.876066  0.626678  0.002412  -0.001172  -0.003802
-1.551728  0.874835  0.622508  0.002032  -0.001034  -0.003761
-1.550075  0.873638  0.618356  0.001721  -0.000767  -0.003546
-1.548605  0.872594  0.614472  0.001653  -0.000545  -0.003123
-1.547029  0.871543  0.611016  0.001856  -0.000660  -0.002488
-1.545212  0.870198  0.608060  0.002178  -0.000965  -0.001761
-1.543213  0.868730  0.605498  0.002375  -0.001076  -0.001273
-1.541245  0.867395  0.602954  0.002256  -0.000934  -0.001333
-1.539611  0.866182  0.599961  0.001792  -0.000776  -0.001893
-1.538535  0.864764  0.596365  0.001259  -0.000722  -0.002474
-1.537937  0.863199  0.592692  0.000970  -0.000710  -0.002658
-1.537496  0.861644  0.589453  0.000896  -0.000804  -0.002516
-1.537078  0.860152  0.586659  0.000803  -0.001013  -0.002353
-1.536688  0.858623  0.583983  0.000684  -0.001216  -0.002287
-1.536232  0.857157  0.581236  0.000618  -0.001211  -0.002243
-1.535640  0.855953  0.578493  0.000523  -0.001089  -0.002045
-1.535150  0.855025  0.576009  0.000183  -0.001069  -0.001573
-1.535187  0.854213  0.574092  -0.000428  -0.001190  -0.000946
