# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-0.106483  0.060015  0.558358  0.004714  -0.054027  -0.002156
-0.099153  0.008286  0.550117  0.010690  -0.051955  -0.007158
-0.085824  -0.040822  0.537043  0.017069  -0.048889  -0.012002
-0.066136  -0.086447  0.519433  0.023440  -0.045055  -0.016341
-0.040437  -0.128060  0.497938  0.029209  -0.040600  -0.019947
-0.009578  -0.165027  0.473356  0.034231  -0.035380  -0.022819
0.025878  -0.196422  0.446315  0.038646  -0.029104  -0.025115
0.065577  -0.221177  0.417142  0.042331  -0.021733  -0.027003
0.108699  -0.238422  0.386111  0.044970  -0.013650  -0.028516
0.153920  -0.247709  0.353723  0.046405  -0.005386  -0.029492
0.199824  -0.249010  0.320771  0.046677  0.002723  -0.029697
0.245329  -0.242449  0.288114  0.045931  0.010585  -0.029053
0.289696  -0.228227  0.256435  0.044268  0.018050  -0.027671
0.332194  -0.206828  0.226279  0.041723  0.024903  -0.025692
0.371935  -0.178971  0.198217  0.038279  0.031074  -0.023157
0.407855  -0.145488  0.172919  0.033981  0.036595  -0.020129
0.439047  -0.107065  0.150895  0.029008  0.041461  -0.016692
0.464942  -0.064366  0.132545  0.023620  0.045522  -0.012968
0.485346  -0.018303  0.117988  0.017997  0.048624  -0.009107
0.500123  0.030283  0.107288  0.011973  0.050696  -0.005156
0.508736  0.080506  0.100488  0.005257  0.051688  -0.000976
0.510477  0.131302  0.097922  -0.002074  0.051556  0.003625
0.504899  0.181401  0.100040  -0.009510  0.050293  0.008529
0.492204  0.229619  0.106985  -0.016451  0.047939  0.013357
0.473190  0.274830  0.118408  -0.022709  0.044562  0.017728
0.448588  0.316002  0.133616  -0.028497  0.040246  0.021420
0.418598  0.352281  0.151973  -0.033904  0.034961  0.024466
0.383442  0.382928  0.173089  -0.038700  0.028636  0.027156
0.343654  0.407202  0.196974  -0.042580  0.021292  0.029677
0.300363  0.424064  0.223396  -0.045285  0.013240  0.031912
0.254990  0.432983  0.251872  -0.046754  0.005044  0.033559
0.208778  0.433982  0.281565  -0.047062  -0.002811  0.034430
